Age,kmDriven,AskPrice,km_per_year,post_year,post_month,Transmission_Manual,Owner_second,FuelType_Hybrid/CNG,FuelType_Petrol,Brand_encoded,model_encoded
8.0,75000,3.542,9375.0,2026,11,0,1,0,0,36.001,35.991
17.0,135000,3.607,7941.0,2026,11,1,1,0,0,36.018,36.136
10.0,105000,3.607,10500.0,2026,11,1,1,0,0,36.539,36.145
8.0,168500,3.668,21062.0,2026,11,0,1,0,0,37.335,38.156
11.0,61000,3.605,5545.0,2026,11,0,1,0,0,37.196,37.419
1.0,21209,3.607,21209.0,2026,11,1,0,0,1,36.018,35.942
4.0,87000,3.607,21750.0,2026,10,1,0,0,1,36.539,36.513
8.0,130000,3.607,16250.0,2026,11,1,1,0,0,36.001,35.991
9.0,125000,3.664,13889.0,2026,11,0,1,0,0,36.54,37.343
6.0,30000,3.667,5000.0,2026,11,0,0,0,1,36.199,36.175
9.0,78561,3.668,8729.0,2026,11,0,0,0,0,36.021,36.338
8.0,63000,3.607,7875.0,2026,11,1,1,0,1,36.022,35.983
8.0,65000,3.605,8125.0,2026,11,1,0,0,1,36.022,36.119
9.0,102000,3.607,11333.0,2026,11,0,1,0,1,36.188,35.807
2.0,35000,3.667,17500.0,2026,10,0,0,0,1,36.018,36.136
2.0,50000,3.607,25000.0,2026,10,0,0,0,1,36.188,34.701
11.0,60000,3.607,5455.0,2026,11,0,1,0,1,36.018,36.097
10.0,72000,3.607,7200.0,2026,11,0,1,0,0,37.196,37.36
11.0,53000,3.605,4818.0,2026,11,0,1,0,1,37.101,37.564
6.0,74000,3.607,12333.0,2026,11,1,1,0,0,36.539,35.85
1.0,29000,3.607,25624.5,2026,11,0,0,0,1,36.066,35.978
8.0,20800,3.607,2600.0,2026,11,0,1,0,1,37.081,36.116
7.0,95000,3.607,13571.0,2026,10,1,1,0,1,35.975,36.004
3.0,13000,3.607,4333.0,2026,11,0,0,0,0,36.134,35.877
1.0,4000,3.607,4000.0,2026,10,1,0,0,1,36.134,36.61
3.0,57000,3.607,19000.0,2026,11,0,1,0,1,36.018,36.025
2.0,25000,3.668,12500.0,2026,11,0,0,0,0,36.134,37.682
7.0,92000,3.542,13143.0,2026,11,1,0,0,0,36.134,36.189
3.0,12110,3.607,4037.0,2026,11,0,0,0,1,36.066,36.172
2.0,13162,3.542,6581.0,2026,11,0,0,0,1,35.975,36.355
7.0,168500,3.607,24071.0,2026,11,1,0,0,1,36.539,35.85
8.0,168500,3.605,21062.0,2026,11,1,1,0,1,36.018,35.836
11.0,110000,3.607,10000.0,2026,11,0,1,0,0,36.021,36.338
7.0,52355,3.607,7479.0,2026,11,1,0,0,1,35.975,35.488
11.0,40595,3.607,3690.0,2026,11,0,1,0,1,35.975,35.934
3.0,41000,3.607,13667.0,2026,11,1,1,0,0,36.134,35.877
10.0,77500,3.607,7750.0,2026,11,0,1,0,1,36.018,36.322
6.0,55000,3.542,9167.0,2026,11,1,0,0,1,36.018,35.997
11.0,80000,3.607,7273.0,2026,11,0,1,0,1,35.975,35.934
0.0,7000,3.668,9622.0,2026,11,0,0,0,1,37.335,38.156
8.0,47000,3.668,5875.0,2026,11,0,1,0,0,37.196,37.36
8.0,71000,3.607,8875.0,2026,11,0,1,0,1,37.081,36.506
17.0,65000,3.542,3824.0,2026,11,1,1,0,1,35.975,36.022
5.0,69000,3.668,13800.0,2026,11,0,0,0,0,36.539,36.353
5.0,90000,3.607,18000.0,2026,11,1,0,0,0,36.018,36.128
15.0,79742,3.607,5316.0,2026,11,1,1,0,1,35.993,35.256
7.0,45000,3.607,6429.0,2026,10,0,1,0,0,36.021,36.345
2.0,80000,3.668,25624.5,2026,11,0,0,0,0,36.539,36.353
12.0,51000,3.607,4250.0,2026,11,0,1,0,1,36.539,36.113
5.0,168500,3.668,25624.5,2026,11,0,0,0,0,37.196,37.504
8.0,168500,3.668,21062.0,2026,11,0,0,0,1,38.156,38.156
9.0,58000,3.605,6444.0,2026,11,0,0,0,0,37.081,36.658
0.0,2596,3.668,9622.0,2026,11,1,0,0,0,36.539,36.976
1.0,24500,3.605,24500.0,2026,11,0,0,0,1,36.134,35.877
3.0,125000,3.664,25624.5,2026,11,1,0,0,0,36.022,35.983
7.0,168500,3.607,24071.0,2026,11,0,1,0,1,36.018,36.232
5.0,118000,3.607,23600.0,2026,11,0,1,0,0,36.539,36.353
7.0,75000,3.668,10714.0,2026,9,0,0,0,0,37.196,37.36
7.0,105000,3.607,15000.0,2026,11,1,1,0,0,36.134,36.116
3.0,35000,3.605,11667.0,2026,11,1,0,0,1,36.018,35.835
7.0,168500,3.668,24071.0,2026,5,0,0,0,0,36.021,38.156
2.0,30891,3.607,15446.0,2026,11,0,0,0,0,36.372,36.196
1.0,2500,3.542,2500.0,2026,11,0,0,0,1,35.975,35.85
5.0,32000,3.607,6400.0,2026,11,1,1,0,1,36.018,36.136
3.0,168500,3.607,25624.5,2026,11,1,0,0,0,36.134,35.877
8.0,75000,3.542,9375.0,2026,11,0,0,0,1,36.54,33.55
5.0,71000,3.607,14200.0,2026,11,1,0,0,0,36.066,35.978
9.0,61000,3.666,6778.0,2026,11,0,1,0,0,37.196,37.504
13.0,51000,3.607,3923.0,2026,11,0,1,0,1,36.021,36.338
9.0,75000,3.607,8333.0,2026,11,0,1,0,1,36.018,36.146
6.0,39500,3.607,6583.0,2026,10,1,0,0,1,35.975,35.488
6.0,120000,3.542,20000.0,2026,11,1,0,0,0,36.001,33.549
